CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;CnpjValido;ValorValido;RazaoSocialValida
353698;OPERADORA_NAO_IDENTIFICADA;;4;2024;320737982.31;false;true;true
418226;OPERADORA_NAO_IDENTIFICADA;;4;2024;91543539.41;false;true;true
422738;OPERADORA_NAO_IDENTIFICADA;;4;2024;50204.75;false;true;true
423785;OPERADORA_NAO_IDENTIFICADA;;4;2024;22047846.68;false;true;true
415952;OPERADORA_NAO_IDENTIFICADA;;4;2024;11148068.16;false;true;true
423432;OPERADORA_NAO_IDENTIFICADA;;4;2024;15207731.74;false;true;true
409243;OPERADORA_NAO_IDENTIFICADA;;4;2024;1655214576.99;false;true;true
408794;OPERADORA_NAO_IDENTIFICADA;;4;2024;251353278.57;false;true;true
313751;OPERADORA_NAO_IDENTIFICADA;;4;2024;606036307.36;false;true;true
324710;OPERADORA_NAO_IDENTIFICADA;;4;2024;168224.20;false;true;true
419141;OPERADORA_NAO_IDENTIFICADA;;4;2024;1139897973.62;false;true;true
319350;OPERADORA_NAO_IDENTIFICADA;;4;2024;41713203.35;false;true;true
354619;OPERADORA_NAO_IDENTIFICADA;;4;2024;517723548.84;false;true;true
324299;OPERADORA_NAO_IDENTIFICADA;;4;2024;325512566.45;false;true;true
414701;OPERADORA_NAO_IDENTIFICADA;;4;2024;156130359.91;false;true;true
418072;OPERADORA_NAO_IDENTIFICADA;;4;2024;52797247.38;false;true;true
346276;OPERADORA_NAO_IDENTIFICADA;;4;2024;2886603442.38;false;true;true
387185;OPERADORA_NAO_IDENTIFICADA;;4;2024;223927200.78;false;true;true
419486;OPERADORA_NAO_IDENTIFICADA;;4;2024;576773643.75;false;true;true
418170;OPERADORA_NAO_IDENTIFICADA;;4;2024;2925477231.18;false;true;true
350371;OPERADORA_NAO_IDENTIFICADA;;4;2024;2267531249.70;false;true;true
330809;OPERADORA_NAO_IDENTIFICADA;;4;2024;810728564.75;false;true;true
422371;OPERADORA_NAO_IDENTIFICADA;;4;2024;107899416.78;false;true;true
348520;OPERADORA_NAO_IDENTIFICADA;;4;2024;10288839696.64;false;true;true
421324;OPERADORA_NAO_IDENTIFICADA;;4;2024;6208316.31;false;true;true
329339;OPERADORA_NAO_IDENTIFICADA;;4;2024;3908460865.47;false;true;true
415987;OPERADORA_NAO_IDENTIFICADA;;4;2024;72367779.01;false;true;true
423467;OPERADORA_NAO_IDENTIFICADA;;4;2024;3248100.16;false;true;true
338346;OPERADORA_NAO_IDENTIFICADA;;4;2024;778458851.11;false;true;true
421740;OPERADORA_NAO_IDENTIFICADA;;4;2024;101972694.24;false;true;true
419958;OPERADORA_NAO_IDENTIFICADA;;4;2024;404211272.45;false;true;true
317896;OPERADORA_NAO_IDENTIFICADA;;4;2024;945611332.94;false;true;true
422088;OPERADORA_NAO_IDENTIFICADA;;4;2024;74846563.91;false;true;true
343129;OPERADORA_NAO_IDENTIFICADA;;4;2024;269575240.95;false;true;true
335789;OPERADORA_NAO_IDENTIFICADA;;4;2024;319269721.88;false;true;true
331651;OPERADORA_NAO_IDENTIFICADA;;4;2024;1075761315.79;false;true;true
327689;OPERADORA_NAO_IDENTIFICADA;;4;2024;9142016001.35;false;true;true
421642;OPERADORA_NAO_IDENTIFICADA;;4;2024;2675959.92;false;true;true
388092;OPERADORA_NAO_IDENTIFICADA;;4;2024;122293062.10;false;true;true
414921;OPERADORA_NAO_IDENTIFICADA;;4;2024;36379764.40;false;true;true
343269;OPERADORA_NAO_IDENTIFICADA;;4;2024;9536147424.64;false;true;true
370592;OPERADORA_NAO_IDENTIFICADA;;4;2024;208860606.04;false;true;true
310107;OPERADORA_NAO_IDENTIFICADA;;4;2024;9101294.42;false;true;true
323993;OPERADORA_NAO_IDENTIFICADA;;4;2024;1976132737.39;false;true;true
312720;OPERADORA_NAO_IDENTIFICADA;;4;2024;6390595095.35;false;true;true
336025;OPERADORA_NAO_IDENTIFICADA;;4;2024;6839290.51;false;true;true
414573;OPERADORA_NAO_IDENTIFICADA;;4;2024;620696957.08;false;true;true
334847;OPERADORA_NAO_IDENTIFICADA;;4;2024;305021822.10;false;true;true
424145;OPERADORA_NAO_IDENTIFICADA;;4;2024;711706.80;false;true;true
317632;OPERADORA_NAO_IDENTIFICADA;;4;2024;3222378359.15;false;true;true
421006;OPERADORA_NAO_IDENTIFICADA;;4;2024;527866450.82;false;true;true
303267;OPERADORA_NAO_IDENTIFICADA;;4;2024;4130097593.16;false;true;true
415260;OPERADORA_NAO_IDENTIFICADA;;4;2024;10718012.85;false;true;true
421707;OPERADORA_NAO_IDENTIFICADA;;4;2024;131283931.70;false;true;true
419869;OPERADORA_NAO_IDENTIFICADA;;4;2024;41708026.80;false;true;true
420964;OPERADORA_NAO_IDENTIFICADA;;4;2024;32433144.32;false;true;true
422932;OPERADORA_NAO_IDENTIFICADA;;4;2024;32289674.24;false;true;true
417602;OPERADORA_NAO_IDENTIFICADA;;4;2024;120091137.28;false;true;true
417831;OPERADORA_NAO_IDENTIFICADA;;4;2024;57939690.44;false;true;true
413348;OPERADORA_NAO_IDENTIFICADA;;4;2024;8639090.32;false;true;true
313807;OPERADORA_NAO_IDENTIFICADA;;4;2024;24382575.28;false;true;true
343676;OPERADORA_NAO_IDENTIFICADA;;4;2024;737061629.44;false;true;true
422703;OPERADORA_NAO_IDENTIFICADA;;4;2024;3711704.48;false;true;true
410888;OPERADORA_NAO_IDENTIFICADA;;4;2024;267677174.72;false;true;true
000701;OPERADORA_NAO_IDENTIFICADA;;4;2024;47672263777.46;false;true;true
324175;OPERADORA_NAO_IDENTIFICADA;;4;2024;381487306.24;false;true;true
300730;OPERADORA_NAO_IDENTIFICADA;;4;2024;78829186.65;false;true;true
360449;OPERADORA_NAO_IDENTIFICADA;;4;2024;13813032767.61;false;true;true
333662;OPERADORA_NAO_IDENTIFICADA;;4;2024;2031072692.22;false;true;true
305740;OPERADORA_NAO_IDENTIFICADA;;4;2024;9150336.88;false;true;true
353752;OPERADORA_NAO_IDENTIFICADA;;4;2024;40337722.00;false;true;true
408093;OPERADORA_NAO_IDENTIFICADA;;4;2024;46851711.33;false;true;true
314757;OPERADORA_NAO_IDENTIFICADA;;4;2024;9017071.52;false;true;true
364584;OPERADORA_NAO_IDENTIFICADA;;4;2024;5959629776.74;false;true;true
347108;OPERADORA_NAO_IDENTIFICADA;;4;2024;605905080.61;false;true;true
370975;OPERADORA_NAO_IDENTIFICADA;;4;2024;550354969.87;false;true;true
320510;OPERADORA_NAO_IDENTIFICADA;;4;2024;807637644.42;false;true;true
421081;OPERADORA_NAO_IDENTIFICADA;;4;2024;13398255.28;false;true;true
410624;OPERADORA_NAO_IDENTIFICADA;;4;2024;119676508.96;false;true;true
357260;OPERADORA_NAO_IDENTIFICADA;;4;2024;2392963462.43;false;true;true
415898;OPERADORA_NAO_IDENTIFICADA;;4;2024;15844392.17;false;true;true
357669;OPERADORA_NAO_IDENTIFICADA;;4;2024;221662870.26;false;true;true
005711;OPERADORA_NAO_IDENTIFICADA;;4;2024;309640735544.25;false;true;true
337668;OPERADORA_NAO_IDENTIFICADA;;4;2024;5304388476.25;false;true;true
422240;OPERADORA_NAO_IDENTIFICADA;;4;2024;1478839.28;false;true;true
406937;OPERADORA_NAO_IDENTIFICADA;;4;2024;183485301.79;false;true;true
359033;OPERADORA_NAO_IDENTIFICADA;;4;2024;420343669.44;false;true;true
370711;OPERADORA_NAO_IDENTIFICADA;;4;2024;65627324.03;false;true;true
374440;OPERADORA_NAO_IDENTIFICADA;;4;2024;1338860320.14;false;true;true
323357;OPERADORA_NAO_IDENTIFICADA;;4;2024;766054504.83;false;true;true
365777;OPERADORA_NAO_IDENTIFICADA;;4;2024;837857675.22;false;true;true
339954;OPERADORA_NAO_IDENTIFICADA;;4;2024;10948405190.66;false;true;true
419010;OPERADORA_NAO_IDENTIFICADA;;4;2024;3698530363.80;false;true;true
423521;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
330281;OPERADORA_NAO_IDENTIFICADA;;4;2024;483496214.10;false;true;true
322831;OPERADORA_NAO_IDENTIFICADA;;4;2024;976347946.47;false;true;true
421553;OPERADORA_NAO_IDENTIFICADA;;4;2024;12925990.23;false;true;true
323004;OPERADORA_NAO_IDENTIFICADA;;4;2024;245682509.64;false;true;true
421871;OPERADORA_NAO_IDENTIFICADA;;4;2024;102848355.42;false;true;true
306045;OPERADORA_NAO_IDENTIFICADA;;4;2024;576904970.69;false;true;true
423556;OPERADORA_NAO_IDENTIFICADA;;4;2024;1538821.12;false;true;true
420999;OPERADORA_NAO_IDENTIFICADA;;4;2024;170418535.33;false;true;true
350699;OPERADORA_NAO_IDENTIFICADA;;4;2024;882907447.14;false;true;true
418200;OPERADORA_NAO_IDENTIFICADA;;4;2024;26209704.89;false;true;true
331341;OPERADORA_NAO_IDENTIFICADA;;4;2024;2122397310.01;false;true;true
347736;OPERADORA_NAO_IDENTIFICADA;;4;2024;446122300.51;false;true;true
340120;OPERADORA_NAO_IDENTIFICADA;;4;2024;43875969.89;false;true;true
312282;OPERADORA_NAO_IDENTIFICADA;;4;2024;404881928.65;false;true;true
339636;OPERADORA_NAO_IDENTIFICADA;;4;2024;747949815.63;false;true;true
300195;OPERADORA_NAO_IDENTIFICADA;;4;2024;13602139.12;false;true;true
354686;OPERADORA_NAO_IDENTIFICADA;;4;2024;49740605.69;false;true;true
335517;OPERADORA_NAO_IDENTIFICADA;;4;2024;858669971.58;false;true;true
360244;OPERADORA_NAO_IDENTIFICADA;;4;2024;2648031478.34;false;true;true
359289;OPERADORA_NAO_IDENTIFICADA;;4;2024;2721322250.22;false;true;true
407241;OPERADORA_NAO_IDENTIFICADA;;4;2024;10731328.24;false;true;true
421197;OPERADORA_NAO_IDENTIFICADA;;4;2024;887639619.90;false;true;true
345458;OPERADORA_NAO_IDENTIFICADA;;4;2024;733336072.19;false;true;true
351792;OPERADORA_NAO_IDENTIFICADA;;4;2024;1087675337.57;false;true;true
348261;OPERADORA_NAO_IDENTIFICADA;;4;2024;530140053.75;false;true;true
417785;OPERADORA_NAO_IDENTIFICADA;;4;2024;15908390.56;false;true;true
422991;OPERADORA_NAO_IDENTIFICADA;;4;2024;2253507.88;false;true;true
370088;OPERADORA_NAO_IDENTIFICADA;;4;2024;876178911.74;false;true;true
333808;OPERADORA_NAO_IDENTIFICADA;;4;2024;670507913.14;false;true;true
319996;OPERADORA_NAO_IDENTIFICADA;;4;2024;13024191549.82;false;true;true
333051;OPERADORA_NAO_IDENTIFICADA;;4;2024;3062017337.83;false;true;true
325082;OPERADORA_NAO_IDENTIFICADA;;4;2024;158674685.67;false;true;true
304531;OPERADORA_NAO_IDENTIFICADA;;4;2024;140248032.90;false;true;true
389854;OPERADORA_NAO_IDENTIFICADA;;4;2024;208601300.64;false;true;true
384704;OPERADORA_NAO_IDENTIFICADA;;4;2024;317362043.20;false;true;true
336874;OPERADORA_NAO_IDENTIFICADA;;4;2024;32181701.33;false;true;true
392804;OPERADORA_NAO_IDENTIFICADA;;4;2024;4158936576.18;false;true;true
372561;OPERADORA_NAO_IDENTIFICADA;;4;2024;865121023.85;false;true;true
418137;OPERADORA_NAO_IDENTIFICADA;;4;2024;268615403.71;false;true;true
423343;OPERADORA_NAO_IDENTIFICADA;;4;2024;21510959.28;false;true;true
313149;OPERADORA_NAO_IDENTIFICADA;;4;2024;203495156.64;false;true;true
347507;OPERADORA_NAO_IDENTIFICADA;;4;2024;2059305007.97;false;true;true
382876;OPERADORA_NAO_IDENTIFICADA;;4;2024;24058076336.29;false;true;true
357511;OPERADORA_NAO_IDENTIFICADA;;4;2024;9885756090.21;false;true;true
371106;OPERADORA_NAO_IDENTIFICADA;;4;2024;2406357914.87;false;true;true
415910;OPERADORA_NAO_IDENTIFICADA;;4;2024;26156593.68;false;true;true
419231;OPERADORA_NAO_IDENTIFICADA;;4;2024;42496058.48;false;true;true
325236;OPERADORA_NAO_IDENTIFICADA;;4;2024;901360713.11;false;true;true
419168;OPERADORA_NAO_IDENTIFICADA;;4;2024;12495404.14;false;true;true
337871;OPERADORA_NAO_IDENTIFICADA;;4;2024;1859698846.20;false;true;true
419613;OPERADORA_NAO_IDENTIFICADA;;4;2024;333522.48;false;true;true
342203;OPERADORA_NAO_IDENTIFICADA;;4;2024;234348896.68;false;true;true
359726;OPERADORA_NAO_IDENTIFICADA;;4;2024;5453872.32;false;true;true
413194;OPERADORA_NAO_IDENTIFICADA;;4;2024;114090466.72;false;true;true
416428;OPERADORA_NAO_IDENTIFICADA;;4;2024;5246117125.21;false;true;true
314242;OPERADORA_NAO_IDENTIFICADA;;4;2024;439393881.57;false;true;true
364592;OPERADORA_NAO_IDENTIFICADA;;4;2024;483478314.14;false;true;true
006246;OPERADORA_NAO_IDENTIFICADA;;4;2024;237238124131.39;false;true;true
417301;OPERADORA_NAO_IDENTIFICADA;;4;2024;307761381.72;false;true;true
421634;OPERADORA_NAO_IDENTIFICADA;;4;2024;42413130.08;false;true;true
304468;OPERADORA_NAO_IDENTIFICADA;;4;2024;1256176288.40;false;true;true
406813;OPERADORA_NAO_IDENTIFICADA;;4;2024;64395681.47;false;true;true
322890;OPERADORA_NAO_IDENTIFICADA;;4;2024;92807166.99;false;true;true
301949;OPERADORA_NAO_IDENTIFICADA;;4;2024;13004934674.68;false;true;true
335592;OPERADORA_NAO_IDENTIFICADA;;4;2024;11689773396.41;false;true;true
000515;OPERADORA_NAO_IDENTIFICADA;;4;2024;708068265.92;false;true;true
302953;OPERADORA_NAO_IDENTIFICADA;;4;2024;4487072919.24;false;true;true
423815;OPERADORA_NAO_IDENTIFICADA;;4;2024;1806438.00;false;true;true
335690;OPERADORA_NAO_IDENTIFICADA;;4;2024;32456212294.03;false;true;true
412635;OPERADORA_NAO_IDENTIFICADA;;4;2024;346184116.54;false;true;true
419133;OPERADORA_NAO_IDENTIFICADA;;4;2024;4057889506.35;false;true;true
383929;OPERADORA_NAO_IDENTIFICADA;;4;2024;39820033.28;false;true;true
422061;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
419931;OPERADORA_NAO_IDENTIFICADA;;4;2024;3517307.60;false;true;true
351202;OPERADORA_NAO_IDENTIFICADA;;4;2024;8373605998.92;false;true;true
344141;OPERADORA_NAO_IDENTIFICADA;;4;2024;90318175.57;false;true;true
418749;OPERADORA_NAO_IDENTIFICADA;;4;2024;83014941.61;false;true;true
